HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30,Answer 31,Answer 32,Answer 33,Answer 34,Answer 35,Answer 36,Answer 37,Answer 38,Answer 39,Answer 40,Answer 41,Answer 42,Answer 43,Answer 44,Answer 45,Answer 46,Answer 47,Answer 48,Answer 49,Answer 50,Answer 51,Answer 52,Answer 53,Answer 54,Answer 55,Answer 56,Answer 57,Answer 58,Answer 59,Answer 60,Answer 61,Answer 62,Answer 63,Answer 64,Answer 65,Answer 66,Answer 67,Answer 68,Answer 69,Answer 70,Answer 71,Answer 72,Answer 73,Answer 74,Answer 75,Answer 76,Answer 77,Answer 78,Answer 79,Answer 80,Answer 81,Answer 82,Answer 83,Answer 84,Answer 85,Answer 86,Answer 87,Answer 88,Answer 89,Answer 90,Answer 91,Answer 92,Answer 93,Answer 94,Answer 95,Answer 96,Answer 97,Answer 98,Answer 99,Answer 100,Answer 101,Answer 102,Answer 103,Answer 104,Answer 105,Answer 106,Answer 107
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2A9FL42J1LY5F39RQBRILFKIWH53O6,A7OEJFDC3L6WH,Approved,"Tue Feb 28 15:50:27 PST 2012","Tue Feb 28 15:56:11 PST 2012","""7""","""6""","""8""","""2""","""7""","""6""","""5""","""3""","""3""","""2""","""2""","""3""","""5""","""7""","""7""","""4""","""2""","""5""","""2""","""4""","""5""","""7""","""7""","""3""","""7""","""5""","""2""","""8""","""2""","""6""","""7""","""2""",true,"""4""","""6""","""7""","""6""","""2""","""2""","""2""","""4""","""6""","""2""","""7""","""6""","""6""","""2""","""8""","""2""","""3""","""8""","""8""","""8""","""5""","""5""","""8""","""2""","""""","""7""","""7""","""6""","""7""","""8""","""2""","""2""","""7""","""6""","""7""","""7""","""6""","""6""","""8""","""8""","""2""","""8""","""8""","""grammatical""","""8""","""7""","""7""","""5""","""7""","""2""","""5""","""F""","""7""","""7""","""6""","""8""","""2""","""2""","""7""","""2""","""3""","""6""","""6""","""2""","""2""","""3""","""3""","""2""","""2""","""2""","""8""","""7""","""7""","""2""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2KMC26DG67D14VXPY9RCTK2KXHLE7I,A3CJT6C1XWL7WQ,Approved,"Tue Feb 28 15:49:57 PST 2012","Tue Feb 28 15:56:42 PST 2012","""6""","""8""","""7""","""1""","""9""","""7""","""6""","""4""","""3""","""2""","""4""","""8""","""7""","""9""","""9""","""6""","""2""","""7""","""1""","""6""","""6""","""6""","""6""","""3""","""4""","""4""","""3""","""7""","""6""","""7""","""8""","""1""",true,"""8""","""6""","""7""","""6""","""7""","""3""","""2""","""7""","""9""","""2""","""8""","""8""","""6""","""2""","""9""","""4""","""3""","""7""","""9""","""9""","""9""","""9""","""8""","""4""","""""","""9""","""9""","""8""","""8""","""9""","""3""","""1""","""9""","""4""","""8""","""9""","""8""","""1""","""9""","""9""","""3""","""9""","""9""","""natural""","""9""","""9""","""9""","""7""","""9""","""7""","""3""","""M""","""8""","""8""","""7""","""9""","""2""","""2""","""8""","""8""","""3""","""8""","""8""","""3""","""1""","""6""","""3""","""4""","""4""","""2""","""9""","""9""","""8""","""3""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",25B8EBDPGFL624RLIYINIWIPEIS2H9,A21015CTWCT1S2,Approved,"Tue Feb 28 15:49:19 PST 2012","Tue Feb 28 15:56:53 PST 2012","""9""","""9""","""9""","""3""","""9""","""9""","""5""","""4""","""3""","""3""","""6""","""8""","""7""","""7""","""9""","""4""","""7""","""7""","""2""","""6""","""6""","""5""","""9""","""5""","""6""","""5""","""8""","""3""","""5""","""3""","""9""","""4""",true,"""8""","""8""","""9""","""9""","""3""","""2""","""4""","""9""","""9""","""5""","""9""","""9""","""6""","""2""","""9""","""4""","""6""","""7""","""9""","""9""","""9""","""9""","""9""","""7""","""""","""8""","""9""","""9""","""9""","""9""","""2""","""3""","""8""","""9""","""9""","""9""","""9""","""4""","""9""","""9""","""4""","""9""","""9""","""grammatical""","""8""","""9""","""9""","""9""","""9""","""6""","""9""","""M""","""9""","""9""","""9""","""8""","""3""","""1""","""9""","""9""","""8""","""9""","""9""","""3""","""3""","""8""","""4""","""6""","""9""","""3""","""9""","""9""","""9""","""4""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2IBVCNHMVHVKJB2QK9T79J7A36V13H,A18FLUDPMP7DTQ,Approved,"Tue Feb 28 15:48:11 PST 2012","Tue Feb 28 15:59:39 PST 2012","""7""","""9""","""9""","""1""","""9""","""9""","""7""","""6""","""3""","""2""","""8""","""9""","""9""","""9""","""9""","""7""","""8""","""9""","""4""","""6""","""7""","""7""","""6""","""6""","""6""","""8""","""1""","""8""","""4""","""8""","""9""","""3""",true,"""2""","""9""","""9""","""8""","""6""","""8""","""1""","""2""","""6""","""5""","""6""","""9""","""6""","""2""","""9""","""9""","""6""","""9""","""9""","""9""","""6""","""7""","""9""","""6""","""No comments.""","""9""","""9""","""9""","""8""","""9""","""2""","""1""","""8""","""9""","""9""","""9""","""8""","""6""","""7""","""9""","""8""","""9""","""9""","""natural""","""9""","""5""","""9""","""8""","""9""","""7""","""8""","""F""","""8""","""7""","""8""","""9""","""5""","""3""","""9""","""7""","""8""","""2""","""7""","""2""","""1""","""8""","""1""","""2""","""6""","""6""","""9""","""9""","""2""","""3""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",24S0OQKKA4IIZ0URDRX85EW1VG7ZZ1,A70ZUSA01DRB7,Approved,"Tue Feb 28 15:50:44 PST 2012","Tue Feb 28 16:00:03 PST 2012","""9""","""9""","""8""","""9""","""9""","""9""","""9""","""6""","""9""","""9""","""6""","""9""","""9""","""9""","""9""","""3""","""2""","""9""","""2""","""9""","""7""","""9""","""6""","""3""","""6""","""9""","""9""","""2""","""7""","""2""","""9""","""2""",true,"""9""","""7""","""8""","""6""","""6""","""4""","""2""","""9""","""9""","""8""","""9""","""9""","""6""","""2""","""9""","""9""","""8""","""9""","""9""","""9""","""9""","""9""","""9""","""9""","""""","""9""","""9""","""8""","""9""","""9""","""4""","""1""","""9""","""9""","""9""","""9""","""9""","""9""","""8""","""9""","""3""","""9""","""9""","""natural""","""9""","""9""","""9""","""9""","""8""","""9""","""9""","""F""","""9""","""7""","""8""","""9""","""4""","""3""","""9""","""9""","""9""","""9""","""9""","""8""","""4""","""6""","""4""","""8""","""7""","""4""","""9""","""9""","""9""","""3""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2GKK9RJ85OZI66JBTZGMTOQ6XCOV75,A3OYMC2LSHPQV9,Approved,"Tue Feb 28 15:53:33 PST 2012","Tue Feb 28 16:00:27 PST 2012","""3""","""9""","""9""","""1""","""9""","""9""","""9""","""1""","""2""","""1""","""1""","""1""","""9""","""9""","""9""","""2""","""1""","""2""","""1""","""1""","""9""","""1""","""4""","""4""","""1""","""1""","""1""","""9""","""1""","""1""","""9""","""1""",true,"""9""","""9""","""9""","""2""","""2""","""1""","""1""","""2""","""7""","""1""","""2""","""9""","""6""","""2""","""9""","""1""","""1""","""9""","""9""","""9""","""9""","""9""","""9""","""1""","""none""","""9""","""9""","""9""","""1""","""9""","""4""","""1""","""9""","""9""","""8""","""9""","""9""","""1""","""4""","""9""","""1""","""9""","""9""","""grammatical""","""9""","""4""","""9""","""3""","""9""","""1""","""9""","""F""","""9""","""8""","""1""","""1""","""1""","""1""","""9""","""2""","""2""","""2""","""9""","""1""","""1""","""2""","""1""","""1""","""1""","""1""","""9""","""9""","""9""","""1""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2TS11K274J79RIYVKXE4BUXGVT3FDU,A2FYB3G1X0CW07,Approved,"Tue Feb 28 15:55:30 PST 2012","Tue Feb 28 16:00:35 PST 2012","""3""","""9""","""6""","""4""","""9""","""9""","""8""","""7""","""7""","""7""","""2""","""7""","""8""","""9""","""7""","""2""","""8""","""7""","""3""","""3""","""8""","""8""","""8""","""6""","""8""","""8""","""8""","""3""","""3""","""7""","""8""","""3""",false,"""7""","""7""","""7""","""7""","""4""","""6""","""3""","""7""","""8""","""4""","""8""","""7""","""6""","""8""","""9""","""4""","""7""","""8""","""8""","""8""","""8""","""6""","""9""","""3""","""accidentally hit wrong answer for please select 2. Sorry!""","""8""","""7""","""9""","""9""","""9""","""2""","""2""","""8""","""7""","""7""","""9""","""8""","""3""","""8""","""9""","""3""","""9""","""9""","""natural""","""8""","""7""","""7""","""8""","""9""","""4""","""7""","""M""","""8""","""8""","""6""","""9""","""4""","""1""","""8""","""8""","""7""","""8""","""7""","""1""","""4""","""6""","""2""","""4""","""3""","""4""","""9""","""8""","""8""","""4""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2GMFBNFSVGULMVBUBLXNL1FTM3XK69,A1VSFYLTETJGGE,Approved,"Tue Feb 28 15:52:29 PST 2012","Tue Feb 28 16:00:38 PST 2012","""9""","""9""","""8""","""2""","""9""","""9""","""9""","""6""","""9""","""1""","""3""","""8""","""9""","""9""","""9""","""1""","""1""","""9""","""1""","""3""","""9""","""9""","""6""","""8""","""2""","""9""","""8""","""2""","""7""","""2""","""7""","""1""",true,"""9""","""5""","""9""","""9""","""8""","""2""","""1""","""5""","""7""","""2""","""9""","""1""","""""","""9""","""9""","""9""","""1""","""9""","""9""","""9""","""9""","""9""","""1""","""9""","""9""","""1""","""9""","""9""","""grammatical""","""9""","""9""","""9""","""9""","""9""","""3""","""2""","""M""","""9""","""9""","""9""","""9""","""1""","""3""","""9""","""9""","""1""","""9""","""9""","""1""","""1""","""9""","""1""","""2""","""9""","""3""","""9""","""9""","""9""","""2""","""9""","""6""","""2""","""9""","""9""","""9""","""9""","""9""","""9""","""9""","""9""","""9""","""9""","""9""","""3""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",291O9Z6KW4ZMHRJ6AGCFV0OO6CR5EX,AQ54A5VJA42HG,Approved,"Tue Feb 28 15:53:02 PST 2012","Tue Feb 28 16:00:46 PST 2012","""5""","""9""","""9""","""3""","""9""","""9""","""9""","""9""","""4""","""3""","""2""","""9""","""9""","""9""","""7""","""9""","""3""","""9""","""3""","""6""","""5""","""6""","""4""","""3""","""3""","""5""","""3""","""9""","""9""","""6""","""9""","""3""",true,"""9""","""9""","""9""","""9""","""9""","""4""","""2""","""9""","""5""","""3""","""9""","""6""","""I can't wait until I get completely paid. Does that sound natural to you? lol""","""9""","""9""","""9""","""3""","""9""","""9""","""9""","""9""","""9""","""3""","""9""","""9""","""3""","""9""","""9""","""natural""","""9""","""4""","""9""","""6""","""9""","""9""","""7""","""M""","""9""","""9""","""9""","""9""","""2""","""4""","""9""","""9""","""9""","""9""","""9""","""2""","""5""","""9""","""2""","""6""","""3""","""2""","""9""","""9""","""9""","""3""","""9""","""6""","""2""","""9""","""7""","""2""","""9""","""9""","""9""","""9""","""9""","""9""","""9""","""9""","""3""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2TEJUNU8LZ6RESIUAYZDDJ3WXNV3JN,A1TLGZFKWDD2UZ,Approved,"Tue Feb 28 15:48:40 PST 2012","Tue Feb 28 16:01:41 PST 2012","""9""","""9""","""5""","""4""","""8""","""8""","""8""","""3""","""6""","""4""","""3""","""9""","""6""","""8""","""9""","""1""","""4""","""1""","""1""","""2""","""6""","""6""","""7""","""5""","""7""","""6""","""1""","""9""","""8""","""6""","""8""","""3""",true,"""7""","""9""","""7""","""4""","""4""","""5""","""2""","""7""","""8""","""4""","""9""","""9""","""6""","""2""","""9""","""6""","""3""","""8""","""9""","""9""","""5""","""8""","""8""","""4""","""""","""9""","""9""","""9""","""8""","""9""","""2""","""2""","""3""","""9""","""9""","""9""","""9""","""6""","""6""","""9""","""4""","""9""","""9""","""natural""","""9""","""8""","""9""","""7""","""9""","""8""","""2""","""F""","""3""","""9""","""8""","""9""","""2""","""6""","""9""","""7""","""4""","""5""","""8""","""8""","""1""","""4""","""1""","""4""","""2""","""6""","""9""","""8""","""8""","""6""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",22FTL0XULRGN03LS5B4XAFP86M13PN,A3JTLTJT776O52,Approved,"Tue Feb 28 15:50:36 PST 2012","Tue Feb 28 16:01:41 PST 2012","""2""","""9""","""9""","""3""","""8""","""9""","""5""","""5""","""4""","""2""","""2""","""6""","""6""","""9""","""6""","""2""","""2""","""6""","""2""","""9""","""6""","""2""","""7""","""7""","""3""","""3""","""8""","""3""","""8""","""2""","""9""","""4""",true,"""7""","""4""","""8""","""9""","""3""","""1""","""9""","""2""","""9""","""1""","""9""","""1""","""""","""8""","""8""","""7""","""3""","""5""","""6""","""9""","""9""","""8""","""8""","""8""","""7""","""5""","""9""","""9""","""grammatical""","""9""","""6""","""9""","""4""","""9""","""1""","""9""","""M""","""8""","""3""","""7""","""9""","""8""","""3""","""9""","""3""","""8""","""7""","""9""","""8""","""1""","""2""","""2""","""3""","""2""","""1""","""8""","""9""","""6""","""7""","""8""","""6""","""2""","""8""","""5""","""2""","""5""","""8""","""9""","""7""","""9""","""9""","""9""","""9""","""2""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2UMDD8XMB3Q3GR20PJKOBT4FE8SQFA,A2406EKEWVCKXR,Approved,"Tue Feb 28 15:57:57 PST 2012","Tue Feb 28 16:03:02 PST 2012","""6""","""7""","""5""","""1""","""8""","""6""","""8""","""9""","""4""","""3""","""4""","""8""","""9""","""9""","""8""","""2""","""2""","""5""","""3""","""6""","""7""","""4""","""8""","""3""","""6""","""8""","""2""","""8""","""4""","""3""","""9""","""2""",true,"""4""","""9""","""8""","""8""","""8""","""3""","""1""","""7""","""9""","""3""","""9""","""9""","""6""","""2""","""9""","""7""","""3""","""9""","""8""","""8""","""9""","""6""","""9""","""6""","""""","""9""","""9""","""9""","""4""","""9""","""3""","""1""","""6""","""9""","""8""","""9""","""8""","""5""","""8""","""7""","""4""","""9""","""8""","""grammatical""","""9""","""8""","""9""","""9""","""8""","""2""","""3""","""M""","""9""","""9""","""8""","""9""","""1""","""2""","""3""","""7""","""6""","""5""","""8""","""3""","""4""","""8""","""6""","""7""","""1""","""4""","""9""","""9""","""9""","""5""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2JCQW618N46U47E2NUOCJTNEB3SNPN,A2RY1HHVOCAS4P,Approved,"Tue Feb 28 15:56:36 PST 2012","Tue Feb 28 16:03:27 PST 2012","""9""","""9""","""9""","""1""","""9""","""9""","""9""","""2""","""9""","""9""","""1""","""1""","""1""","""9""","""9""","""9""","""1""","""1""","""1""","""9""","""9""","""9""","""9""","""1""","""1""","""1""","""9""","""9""","""9""","""1""","""9""","""1""",true,"""6""","""9""","""7""","""1""","""1""","""1""","""1""","""9""","""1""","""9""","""9""","""9""","""6""","""2""","""9""","""9""","""3""","""9""","""9""","""9""","""9""","""9""","""9""","""9""","""""","""9""","""9""","""9""","""9""","""9""","""2""","""1""","""9""","""4""","""9""","""9""","""9""","""9""","""9""","""9""","""2""","""9""","""9""","""natural""","""9""","""9""","""9""","""4""","""9""","""9""","""1""","""F""","""9""","""6""","""9""","""9""","""9""","""3""","""9""","""8""","""9""","""1""","""8""","""1""","""1""","""1""","""1""","""3""","""1""","""9""","""9""","""9""","""9""","""1""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",22RVXX2Q45UURIQNZC9W6NS97X0R9N,A2607WK29QJOSN,Approved,"Tue Feb 28 15:56:49 PST 2012","Tue Feb 28 16:04:01 PST 2012","""2""","""9""","""1""","""1""","""9""","""9""","""8""","""1""","""2""","""1""","""2""","""9""","""5""","""9""","""2""","""9""","""1""","""5""","""1""","""1""","""9""","""3""","""7""","""8""","""4""","""8""","""9""","""1""","""8""","""1""","""9""","""1""",true,"""9""","""9""","""1""","""9""","""2""","""1""","""1""","""1""","""2""","""1""","""9""","""1""","""""","""9""","""9""","""9""","""1""","""8""","""2""","""9""","""9""","""9""","""1""","""9""","""9""","""2""","""9""","""9""","""grammatical""","""9""","""9""","""8""","""2""","""9""","""8""","""9""","""F""","""9""","""9""","""9""","""9""","""1""","""2""","""9""","""1""","""2""","""6""","""9""","""1""","""1""","""9""","""2""","""2""","""1""","""1""","""9""","""9""","""8""","""1""","""8""","""6""","""2""","""9""","""1""","""2""","""9""","""8""","""9""","""9""","""8""","""8""","""9""","""9""","""3""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",25OAVKI62NJQ9T9RIY0QM6BL4TVKSY,A1G4QQQTDANOM9,Approved,"Tue Feb 28 16:03:31 PST 2012","Tue Feb 28 16:07:46 PST 2012","""9""","""9""","""9""","""5""","""9""","""9""","""9""","""9""","""9""","""9""","""4""","""8""","""9""","""9""","""9""","""5""","""9""","""9""","""9""","""4""","""5""","""9""","""9""","""9""","""3""","""9""","""9""","""8""","""9""","""9""","""9""","""5""",true,"""8""","""7""","""9""","""9""","""9""","""9""","""2""","""9""","""9""","""9""","""9""","""9""","""6""","""2""","""9""","""7""","""9""","""9""","""9""","""9""","""9""","""9""","""9""","""9""","""""","""9""","""9""","""6""","""9""","""9""","""4""","""5""","""7""","""9""","""9""","""9""","""6""","""9""","""9""","""9""","""9""","""9""","""9""","""natural""","""9""","""9""","""9""","""8""","""9""","""9""","""9""","""F""","""9""","""9""","""9""","""9""","""6""","""9""","""9""","""9""","""9""","""9""","""9""","""4""","""9""","""4""","""8""","""6""","""9""","""9""","""9""","""9""","""9""","""5""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2AT1K274J79KXO8QRCV6ZXFDWL6GER,A4M2EA2J10E7K,Approved,"Tue Feb 28 16:02:47 PST 2012","Tue Feb 28 16:10:09 PST 2012","""9""","""9""","""9""","""1""","""9""","""9""","""9""","""2""","""3""","""5""","""7""","""9""","""9""","""9""","""9""","""9""","""1""","""6""","""1""","""7""","""8""","""9""","""6""","""6""","""7""","""1""","""9""","""1""","""9""","""7""","""9""","""3""",true,"""9""","""9""","""9""","""9""","""6""","""7""","""1""","""9""","""9""","""1""","""9""","""3""","""Nope.""","""9""","""9""","""9""","""1""","""9""","""9""","""9""","""9""","""9""","""1""","""9""","""9""","""5""","""9""","""9""","""grammatical""","""9""","""9""","""9""","""9""","""9""","""6""","""9""","""F""","""9""","""9""","""9""","""9""","""1""","""1""","""9""","""9""","""9""","""9""","""9""","""7""","""2""","""9""","""1""","""1""","""1""","""1""","""9""","""9""","""9""","""5""","""9""","""6""","""2""","""9""","""3""","""7""","""9""","""9""","""9""","""9""","""9""","""9""","""9""","""9""","""4""",
2XXL6VCPWZ9RU5Y77KSSCSN4D97O9L,"Survey, ~ 10 minutes","1 condition",2598MZ9O9Z6K3W1BTO8HWRLG9HPA1Q,A2SKNL91NT54IZ,Approved,"Tue Feb 28 16:10:03 PST 2012","Tue Feb 28 16:16:06 PST 2012","""7""","""9""","""9""","""2""","""9""","""9""","""8""","""8""","""8""","""1""","""7""","""8""","""8""","""9""","""9""","""2""","""4""","""7""","""1""","""8""","""9""","""8""","""8""","""8""","""8""","""9""","""3""","""8""","""4""","""5""","""9""","""1""",true,"""8""","""9""","""9""","""9""","""5""","""4""","""4""","""9""","""7""","""5""","""9""","""8""","""No.""","""9""","""9""","""9""","""7""","""9""","""9""","""9""","""9""","""9""","""2""","""9""","""9""","""7""","""9""","""9""","""natural""","""9""","""9""","""9""","""9""","""9""","""9""","""3""","""F""","""9""","""9""","""9""","""9""","""1""","""5""","""9""","""8""","""8""","""9""","""9""","""6""","""3""","""6""","""8""","""7""","""6""","""2""","""9""","""9""","""9""","""5""","""8""","""6""","""2""","""9""","""9""","""8""","""9""","""9""","""9""","""8""","""8""","""9""","""9""","""9""","""3""",
